birth_state,name,rookie_yr
,Jalen Beeks,2018
MI,Jon Berti,2018
PA,Jesse Biddle,2018
CA,Shane Bieber,2018
PA,Ray Black,2018
CA,Alex Blandino,2018
LA,Jeremy Bleich,2018
VA,John Bormann,2018
IL,Ryan Borucki,2018
NY,Christopher Bostick,2018
CO,David Bote,2018
TX,Ryan Brasier,2018
TX,Colten Brewer,2018
Venezuela,Jose Briceno,2018
WA,Jeff Brigham,2018
FL,Lewis Brinson,2018
Dominican Republic,Socrates Brito,2018
KY,Walker Buehler,2018
CA,Aaron Bummer,2018
IL,Nick Burdi,2018
CA,Corbin Burnes,2018
CO,Ryan Burr,2018
AZ,Dan Butler,2018
NC,Ty Buttrey,2018
CA,Willie Calhoun,2018
Dominican Republic,Orlando Calixte,2018
SC,Jamie Callahan,2018
Puerto Rico,Victor Caratini,2018
FL,Stephen Cardullo,2018
CA,Shane Carle,2018
AZ,Ryan Carpenter,2018
TN,Cody Carroll,2018
Dominican Republic,Diego Castillo,2018
IL,Jose Castillo,2018
Venezuela,Harold Castro,2018
VA,Jake Cave,2018
LA,Gavin Cecchini,2018
Venezuela,Alejandro Chacin,2018
LA,JT Chargois,2018
Venezuela,Yonny Chirinos,2018
OR,Adam Cimber,2018
SC,Nick Ciuffo,2018
CA,Taylor Cole,2018
SD,Dusty Coleman,2018
GA,Garrett Cooper,2018
TX,Scott Copeland,2018
Dominican Republic,Daniel Corcino,2018
CA,Ryan Cordell,2018
Dominican Republic,Franchy Cordero,2018
Dominican Republic,Jimmy Cordero,2018
AZ,Dylan Cozens,2018
TX,Stefan Crichton,2018
Puerto Rico,Noel Cuevas,2018
Venezuela,William Cuevas,2018
MA,John Curtiss,2018
FL,Tyler Danish,2018
AZ,Austin Davis,2018
PA,Jonathan Davis,2018
NC,Rookie Davis,2018
FL,Taylor Davis,2018
TX,Austin Dean,2018
MO,Dean Deetz,2018
Colombia,Dayan Diaz,2018
CA,Brandon Dixon,2018
Dominican Republic,Seranthony Dominguez,2018
TX,Hunter Dozier,2018
SC,Steven Duggar,2018
IL,Dietrich Enns,2018
AL,Phil Ervin,2018
Panama,Paolo Espino,2018
CA,Phillip Evans,2018
GA,Kyle Farmer,2018
OH,Luke Farrell,2018
NV,Erick Fedde,2018
OH,Caleb Ferguson,2018
Dominican Republic,Jose Fernandez,2018
Dominican Republic,Jose Fernandez,2018
NY,Matt Festa,2018
Ireland,Johnny Field,2018
NJ,Heath Fillmyer,2018
CA,Jack Flaherty,2018
IL,David Fletcher,2018
CA,Chris Flexen,2018
Venezuela,Wilmer Font,2018
FL,Nolan Fontana,2018
GA,Dustin Fowler,2018
MT,Caleb Frare,2018
CA,David Freitas,2018
CA,Max Fried,2018
OR,Jace Fry,2018
MI,Paul Fry,2018
FL,Carson Fulmer,2018
CA,Drew Gagnon,2018
OR,Rocky Gale,2018
PA,Cam Gallagher,2018
Mexico,Giovanny Gallegos,2018
CA,Isaac Galloway,2018
Cuba,Adolis Garcia,2018
FL,Aramis Garcia,2018
IL,Nick Gardewine,2018
NM,Mitch Garver,2018
TN,Mike Gerber,2018
Dominican Republic,Domingo German,2018
Brazil,Luiz Gohara,2018
OH,Brad Goldberg,2018
FL,Austin Gomber,2018
Dominican Republic,Miguel Gomez,2018
Dominican Republic,Roberto Gomez,2018
CA,Stephen Gonsalves,2018
FL,Alfredo Gonzalez,2018
Dominican Republic,Merandy Gonzalez,2018
GA,Niko Goodrum,2018
GA,Terrance Gore,2018
NY,Zack Granite,2018
MO,Brett Graves,2018
SC,Grayson Greiner,2018
Dominican Republic,Reymin Guduan,2018
TX,Javy Guerra,2018
Dominican Republic,Gabriel Guerrero,2018
Colombia,Tayron Guerrero,2018
Colombia,Taylor Guerrieri,2018
FL,Luis Guillorme,2018
Dominican Republic,Jandel Gustave,2018
Dominican Republic,Ronald Guzman,2018
MI,Eric Haase,2018
CA,Justin Haley,2018
MO,Matt Hall,2018
NH,Ian Hamilton,2018
NV,Garrett Hampson,2018
OH,Justin Hancock,2018
TN,Eric Hanhold,2018
HI,Jacob Hannemann,2018
OH,Mike Hauschild,2018
FL,Austin Hays,2018
WI,Ben Heller,2018
AZ,Michael Hermosillo,2018
Dominican Republic,Ariel Hernandez,2018
Venezuela,Elieser Hernandez,2018
Venezuela,Ronald Herrera,2018
Venezuela,Rosell Herrera,2018
TN,David Hess,2018
VA,Jordan Hicks,2018
CA,Kyle Higashioka,2018
CA,Tim Hill,2018
Japan,Yoshihisa Hirano,2018
AL,Clay Holmes,2018
OK,Adrian Houser,2018
GA,Sam Howard,2018
VA,Dakota Hudson,2018
TX,Joe Hudson,2018
TX,Chad Huffman,2018
TX,Jason Hursh,2018
ID,Josh James,2018
PA,Jordan Jankowski,2018
IL,Danny Jansen,2018
GA,Myles Jaye,2018
Dominican Republic,Williams Jerez,2018
OK,Jake Jewell,2018
CA,Brian Johnson,2018
OR,DJ Johnson,2018
MN,Micah Johnson,2018
CO,Pierce Johnson,2018
FL,Sherman Johnson,2018
Dominican Republic,Felix Jorge,2018
TN,Corban Joseph,2018
Panama,Ariel Jurado,2018
IL,Kevin Kaczmarski,2018
