name,rookie_yr,birth_state
Buck Gladmon,1884,DC
Ed Glenn,1884,VA
Bernie Graham,1884,WI
Bill Greenwood,1884,PA
Joe Gunson,1884,PA
Walter Hackett,1884,MA
Jim Halpin,1884,United Kingdom
John Hamill,1884,NY
John Hanna,1884,PA
John Harkins,1884,NJ
Ernie Hickman,1884,IL
Charlie Hilsey,1884,PA
Charlie Hodnett,1884,IA
Buster Hoover,1884,PA
Patrick Horan,1884,
Charlie Householder,1884,PA
John Humphries,1884,Canada
John Irwin,1884,Canada
Dick Johnston,1884,NY
Ri Jones,1884,FL
Jim Keenan,1884,CT
John Kerins,1884,IN
Bill Kienzle,1884,PA
Sam Kimber,1884,PA
Walt Kinzie,1884,KS
Joe Knight,1884,Canada
Jimmy Knowles,1884,Canada
Bill Krieg,1884,IL
Henry Larkin,1884,PA
Tom Lee,1884,WI
Charlie Levis,1884,MO
Milo Lockwood,1884,OH
Mac MacArthur,1884,United Kingdom
Jim Manning,1884,MA
Steve Matthias,1884,MD
Tommy McCarthy,1884,MA
Al McCauley,1884,IN
Jim McDonald,1884,CA
Jim McElroy,1884,CA
John McGuinness,1884,Ireland
Deacon McGuire,1884,OH
Larry McKeon,1884,NY
Alex McKinnon,1884,MA
Barney McLaughlin,1884,Ireland
Mox McQuery,1884,KY
Pete Meegan,1884,CA
Frank Meinke,1884,IL
Ed Merrill,1884,KY
Cyclone Miller,1884,MA
Doggie Miller,1884,NY
Joe Miller,1884,Germany
Jocko Milligan,1884,PA
Joe Moffet,1884,WV
Sam Moffet,1884,WV
Henry Moore,1884,
Ed Morris,1884,NY
Jon Morrison,1884,MA
Charlie Morton,1884,OH
Bill Mountjoy,1884,Canada
Joe Mulvey,1884,RI
John Murphy,1884,PA
Willie Murphy,1884,MA
George Myers,1884,NY
Billy Nash,1884,VA
Henry Oberbeck,1884,MO
Frank Olin,1884,VT
Dave Orr,1884,NY
Elias Peak,1884,PA
John Peltz,1884,LA
Jimmy Peoples,1884,MI
Dick Phelan,1884,PA
Marr Phillips,1884,PA
George Pinkney,1884,IL
Henry Porter,1884,VT
Abner Powell,1884,PA
Jim Powell,1884,VA
Walter Prince,1884,NH
Joe Quinn,1884,
Phil Reccius,1884,KY
Billy Reid,1884,Canada
Danny Richardson,1884,NY
Yank Robinson,1884,PA
John Ryan,1884,PA
Jimmy Say,1884,MD
Jumbo Schoeneck,1884,IL
Milt Scott,1884,IL
Emmett Seery,1884,IL
Billy Serad,1884,PA
Taylor Shafer,1884,
Gus Shallix,1884,Germany
Mike Slattery,1884,MA
Ed Smith,1884,RI
Germany Smith,1884,PA
Tony Suck,1884,IL
Fleury Sullivan,1884,IL
Billy Sunday,1884,IA
Rooney Sweeney,1884,NY
Lou Sylvester,1884,IL
Fred Tenney,1884,NH
Adonis Terry,1884,MA
John Tilley,1884,NY
Bill Traffley,1884,NY
Ed Trumbull,1884,MA
Bill Vinton,1884,MA
Alex Voss,1884,GA
Fleet Walker,1884,OH
Podge Weihe,1884,OH
Curt Welch,1884,OH
Perry Werden,1884,MO
Buck West,1884,OH
Bill White,1884,GA
Milt Whitehead,1884,Canada
Bill Wise,1884,DC
Willis Wyman,1884,
Norm Baker,1885,PA
Lady Baldwin,1885,NY
Charley Bassett,1885,RI
Charlie Bastian,1885,PA
